"task_id","p","n","cov_model","signal","n_iter","n_perm","power_HT","time_min"
100,200,10,"ar1","moderate",1000,1000,0.102,7.34
101,500,10,"ar1","moderate",1000,1000,0.092,12.39
102,2000,10,"ar1","moderate",1000,1000,0.082,37.48
103,200,20,"ar1","moderate",1000,1000,0.157,14.75
104,500,20,"ar1","moderate",1000,1000,0.193,26.06
105,2000,20,"ar1","moderate",1000,1000,0.214,87.71
106,200,50,"ar1","moderate",1000,1000,0.321,52.11
107,500,50,"ar1","moderate",1000,1000,0.684,93.39
108,2000,50,"ar1","moderate",1000,1000,0.882,323.77
109,200,5,"identity","dense",1000,1000,0.061,4.66
110,500,5,"identity","dense",1000,1000,0.057,6.79
111,2000,5,"identity","dense",1000,1000,0.072,17.77
112,200,10,"identity","dense",1000,1000,0.088,7.3
113,500,10,"identity","dense",1000,1000,0.074,12.32
114,2000,10,"identity","dense",1000,1000,0.056,37.22
115,200,20,"identity","dense",1000,1000,0.125,14.65
116,500,20,"identity","dense",1000,1000,0.134,26.13
117,2000,20,"identity","dense",1000,1000,0.109,85.74
118,200,50,"identity","dense",1000,1000,0.399,51.55
119,500,50,"identity","dense",1000,1000,0.539,91.42
120,2000,50,"identity","dense",1000,1000,0.605,315.98
121,200,5,"cs","dense",1000,1000,0.055,4.7
122,500,5,"cs","dense",1000,1000,0.082,6.84
123,2000,5,"cs","dense",1000,1000,0.053,17.84
124,200,10,"cs","dense",1000,1000,0.057,7.3
125,500,10,"cs","dense",1000,1000,0.072,12.3
126,2000,10,"cs","dense",1000,1000,0.057,37.18
127,200,20,"cs","dense",1000,1000,0.063,14.61
128,500,20,"cs","dense",1000,1000,0.075,16.67
129,2000,20,"cs","dense",1000,1000,0.064,57.41
130,200,50,"cs","dense",1000,1000,0.047,32.92
131,500,50,"cs","dense",1000,1000,0.082,59.44
132,2000,50,"cs","dense",1000,1000,0.103,209.77
133,200,5,"ar1","dense",1000,1000,0.063,2.74
134,500,5,"ar1","dense",1000,1000,0.072,4.14
135,2000,5,"ar1","dense",1000,1000,0.076,11.76
136,200,10,"ar1","dense",1000,1000,0.091,4.51
137,500,10,"ar1","dense",1000,1000,0.113,7.97
138,2000,10,"ar1","dense",1000,1000,0.088,24.46
139,200,20,"ar1","dense",1000,1000,0.149,9.04
140,500,20,"ar1","dense",1000,1000,0.207,16.8
141,2000,20,"ar1","dense",1000,1000,0.23,56.59
142,200,50,"ar1","dense",1000,1000,0.316,33.2
143,500,50,"ar1","dense",1000,1000,0.72,60.78
144,2000,50,"ar1","dense",1000,1000,0.876,209.23
